businessKey,batchId,ai_verification_time,ai_overall_status,testName,ai_meets_specification,hitl_qa_decision,hitl_reviewer_id,hitl_review_time
ACY8208-TEST3,ACY8208,2026-01-03 22:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-01T08:35:03.967Z
ACY8208-TEST1,ACY8208,2026-01-03 22:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-01T08:35:03.967Z
ACY8208-TEST0,ACY8208,2026-01-03 22:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-01T08:35:03.967Z
ACY8208-TEST4,ACY8208,2026-01-03 22:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-01T08:35:03.967Z
ACY8208-TEST2,ACY8208,2026-01-03 22:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-01T08:35:03.967Z
ADK1777-TEST2,ADK1777,2026-01-03 23:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-04T06:00:39.219Z
ADK1777-TEST3,ADK1777,2026-01-03 23:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-04T06:00:39.219Z
ADK1777-TEST4,ADK1777,2026-01-03 23:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-04T06:00:39.219Z
ADB7142-TEST4,ADB7142,2026-01-03 23:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-28T14:03:37.067Z
ADB7142-TEST3,ADB7142,2026-01-03 23:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-28T14:03:37.067Z
ADB7142-TEST2,ADB7142,2026-01-03 23:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-28T14:03:37.067Z
ADB7142-TEST1,ADB7142,2026-01-03 23:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-28T14:03:37.067Z
ADB7142-TEST0,ADB7142,2026-01-03 23:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-28T14:03:37.067Z
ADK1777-TEST1,ADK1777,2026-01-03 23:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-04T06:00:39.219Z
ADK1777-TEST0,ADK1777,2026-01-03 23:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-04T06:00:39.219Z
ACV2374-TEST4,ACV2374,2026-01-04 00:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-13T07:58:23.017Z
ACV2374-TEST3,ACV2374,2026-01-04 00:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-13T07:58:23.017Z
ACV2374-TEST2,ACV2374,2026-01-04 00:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-13T07:58:23.017Z
ACV2374-TEST1,ACV2374,2026-01-04 00:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-13T07:58:23.017Z
ACV2374-TEST0,ACV2374,2026-01-04 00:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-13T07:58:23.017Z
ACZ0678-TEST1,ACZ0678,2026-01-04 01:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-01T07:35:05.435Z
ACZ0678-TEST2,ACZ0678,2026-01-04 01:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-01T07:35:05.435Z
ACZ0678-TEST3,ACZ0678,2026-01-04 01:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-01T07:35:05.435Z
ACZ0678-TEST4,ACZ0678,2026-01-04 01:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-01T07:35:05.435Z
ACZ0678-TEST0,ACZ0678,2026-01-04 01:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-01T07:35:05.435Z
ADE5327-TEST3,ADE5327,2026-01-04 03:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-04T05:11:35.437Z
ADE5327-TEST2,ADE5327,2026-01-04 03:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-04T05:11:35.437Z
ADE5327-TEST1,ADE5327,2026-01-04 03:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-04T05:11:35.437Z
ADE5327-TEST4,ADE5327,2026-01-04 03:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-04T05:11:35.437Z
ADE5327-TEST0,ADE5327,2026-01-04 03:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-04T05:11:35.437Z
ACW7192-TEST1,ACW7192,2026-01-04 04:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-01T20:45:40.112Z
ACW7192-TEST4,ACW7192,2026-01-04 04:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-01T20:45:40.112Z
ACW7192-TEST3,ACW7192,2026-01-04 04:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-01T20:45:40.112Z
ACW7192-TEST2,ACW7192,2026-01-04 04:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-01T20:45:40.112Z
ACW7192-TEST0,ACW7192,2026-01-04 04:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-01T20:45:40.112Z
ACY6204-TEST2,ACY6204,2026-01-04 06:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ACY6204-TEST1,ACY6204,2026-01-04 06:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ACY6204-TEST0,ACY6204,2026-01-04 06:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ADB4888-TEST4,ADB4888,2026-01-04 06:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.574Z
ADB4888-TEST3,ADB4888,2026-01-04 06:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.574Z
ADB4888-TEST2,ADB4888,2026-01-04 06:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.574Z
ADB4888-TEST1,ADB4888,2026-01-04 06:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.574Z
ADB4888-TEST0,ADB4888,2026-01-04 06:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.574Z
ACY6204-TEST3,ACY6204,2026-01-04 06:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ADD3202-TEST0,ADD3202,2026-01-04 06:20:43+00:00,PASS,Appearance,Conforms,Approved,USER-251.0,2026-02-13T07:43:11.151Z
ADD3202-TEST1,ADD3202,2026-01-04 06:20:43+00:00,PASS,Mycoplasma,Conforms,Approved,USER-251.0,2026-02-13T07:43:11.151Z
ADD3202-TEST2,ADD3202,2026-01-04 06:20:43+00:00,PASS,Sterility,Conforms,Approved,USER-251.0,2026-02-13T07:43:11.151Z
ADD3202-TEST3,ADD3202,2026-01-04 06:20:43+00:00,PASS,Endotoxin,Conforms,Approved,USER-251.0,2026-02-13T07:43:11.151Z
ADD3202-TEST4,ADD3202,2026-01-04 06:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Approved,USER-251.0,2026-02-13T07:43:11.151Z
