businessKey,batchId,ai_verification_time,ai_overall_status,testName,ai_meets_specification,hitl_qa_decision,hitl_reviewer_id,hitl_review_time
ADK2377-TEST3,ADK2377,2026-01-26 18:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-02T08:00:09.123Z
ADK2377-TEST0,ADK2377,2026-01-26 18:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-02T08:00:09.123Z
ACM4911-TEST0,ACM4911,2026-01-26 18:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-13T07:32:59.271Z
ADK2377-TEST4,ADK2377,2026-01-26 18:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-02T08:00:09.123Z
ADK2377-TEST2,ADK2377,2026-01-26 18:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-02T08:00:09.123Z
ADJ5184-TEST1,ADJ5184,2026-01-26 19:20:43+00:00,PASS,Mycoplasma,Conforms,Pending,UNKNOWN,
ADJ5184-TEST3,ADJ5184,2026-01-26 19:20:43+00:00,PASS,Endotoxin,Conforms,Pending,UNKNOWN,
ADJ5184-TEST4,ADJ5184,2026-01-26 19:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Pending,UNKNOWN,
ADC6739-TEST3,ADC6739,2026-01-26 19:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.059Z
ADE5065-TEST0,ADE5065,2026-01-26 19:20:43+00:00,FAIL,Appearance,Does Not Conform,Reprocess,USER-251.0,2026-02-27T23:04:34.441Z
ADJ5184-TEST0,ADJ5184,2026-01-26 19:20:43+00:00,PASS,Appearance,Conforms,Pending,UNKNOWN,
ADC6739-TEST0,ADC6739,2026-01-26 19:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.059Z
ADJ5184-TEST2,ADJ5184,2026-01-26 19:20:43+00:00,PASS,Sterility,Conforms,Pending,UNKNOWN,
ADC6739-TEST2,ADC6739,2026-01-26 19:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.059Z
ADC6739-TEST4,ADC6739,2026-01-26 19:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.059Z
ADE5065-TEST4,ADE5065,2026-01-26 19:20:43+00:00,FAIL,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-27T23:04:34.441Z
ADE5065-TEST3,ADE5065,2026-01-26 19:20:43+00:00,FAIL,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-27T23:04:34.441Z
ADE5065-TEST2,ADE5065,2026-01-26 19:20:43+00:00,FAIL,Sterility,Conforms,Reprocess,USER-251.0,2026-02-27T23:04:34.441Z
ADE5065-TEST1,ADE5065,2026-01-26 19:20:43+00:00,FAIL,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-27T23:04:34.441Z
ADC6739-TEST1,ADC6739,2026-01-26 19:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.059Z
ACU7850-TEST2,ACU7850,2026-01-26 20:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-02T04:05:34.583Z
ACU7850-TEST1,ACU7850,2026-01-26 20:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-02T04:05:34.583Z
ACY5243-TEST0,ACY5243,2026-01-26 20:20:43+00:00,PASS,Appearance,Conforms,Pending,UNKNOWN,
ADD7687-TEST4,ADD7687,2026-01-26 20:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-28T02:34:03.236Z
ACU7850-TEST0,ACU7850,2026-01-26 20:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-02T04:05:34.583Z
ACU7850-TEST4,ACU7850,2026-01-26 20:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-02T04:05:34.583Z
ADD7687-TEST0,ADD7687,2026-01-26 20:20:43+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-28T02:34:03.236Z
ADH8115-TEST4,ADH8115,2026-01-26 20:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Pending,UNKNOWN,
ACU7850-TEST3,ACU7850,2026-01-26 20:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-02T04:05:34.583Z
ACY5243-TEST1,ACY5243,2026-01-26 20:20:43+00:00,PASS,Mycoplasma,Conforms,Pending,UNKNOWN,
ACY5243-TEST4,ACY5243,2026-01-26 20:20:43+00:00,PASS,Cell Viability Percentage,Conforms,Pending,UNKNOWN,
ACY5243-TEST3,ACY5243,2026-01-26 20:20:43+00:00,PASS,Endotoxin,Conforms,Pending,UNKNOWN,
ADD7687-TEST2,ADD7687,2026-01-26 20:20:43+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-28T02:34:03.236Z
ADD7687-TEST3,ADD7687,2026-01-26 20:20:43+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-28T02:34:03.236Z
ADD7687-TEST1,ADD7687,2026-01-26 20:20:43+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-28T02:34:03.236Z
ADH8115-TEST3,ADH8115,2026-01-26 20:20:43+00:00,PASS,Endotoxin,Conforms,Pending,UNKNOWN,
ADH8115-TEST0,ADH8115,2026-01-26 20:20:43+00:00,PASS,Appearance,Conforms,Pending,UNKNOWN,
