businessKey,batchId,ai_verification_time,ai_overall_status,testName,ai_meets_specification,hitl_qa_decision,hitl_reviewer_id,hitl_review_time
ADG1993-TEST0,ADG1993,2026-01-04 00:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-03T18:05:42.073Z
ACX2636-TEST2,ACX2636,2026-01-04 00:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-01T17:38:09.177Z
ACX2636-TEST3,ACX2636,2026-01-04 00:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-01T17:38:09.177Z
ACX2636-TEST4,ACX2636,2026-01-04 00:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-01T17:38:09.177Z
ADG1993-TEST4,ADG1993,2026-01-04 00:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-03T18:05:42.073Z
ADG1993-TEST3,ADG1993,2026-01-04 00:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-03T18:05:42.073Z
ADG1993-TEST2,ADG1993,2026-01-04 00:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-03T18:05:42.073Z
ACW6003-TEST4,ACW6003,2026-01-04 00:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-01T21:05:07.646Z
ADG1993-TEST1,ADG1993,2026-01-04 00:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-03T18:05:42.073Z
ACX2636-TEST0,ACX2636,2026-01-04 00:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-01T17:38:09.177Z
ACW6003-TEST3,ACW6003,2026-01-04 00:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-01T21:05:07.646Z
ACW6003-TEST2,ACW6003,2026-01-04 00:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-01T21:05:07.646Z
ACW6003-TEST1,ACW6003,2026-01-04 00:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-01T21:05:07.646Z
ADK4723-TEST4,ADK4723,2026-01-04 00:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Approved,USER-251.0,2026-03-03T14:30:50.037Z
ACX2636-TEST1,ACX2636,2026-01-04 00:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-01T17:38:09.177Z
ADK4723-TEST2,ADK4723,2026-01-04 00:55:41+00:00,PASS,Sterility,Conforms,Approved,USER-251.0,2026-03-03T14:30:50.037Z
