businessKey,batchId,ai_verification_time,ai_overall_status,testName,ai_meets_specification,hitl_qa_decision,hitl_reviewer_id,hitl_review_time
ACW9669-TEST0,ACW9669,2026-01-26 09:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-01T17:35:08.985Z
ACW9669-TEST1,ACW9669,2026-01-26 09:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-01T17:35:08.985Z
ACW9669-TEST2,ACW9669,2026-01-26 09:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-01T17:35:08.985Z
ACW9669-TEST3,ACW9669,2026-01-26 09:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-01T17:35:08.985Z
ACW9669-TEST4,ACW9669,2026-01-26 09:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-01T17:35:08.985Z
ACY6204-TEST0,ACY6204,2026-01-26 10:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ACY6204-TEST2,ACY6204,2026-01-26 10:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ACY6204-TEST4,ACY6204,2026-01-26 10:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ACY6204-TEST1,ACY6204,2026-01-26 10:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ACY6204-TEST3,ACY6204,2026-01-26 10:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-01-03T15:38:28.978Z
ADJ3982-TEST0,ADJ3982,2026-01-26 11:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-19T13:40:19.946Z
ADJ3982-TEST2,ADJ3982,2026-01-26 11:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-19T13:40:19.946Z
ADJ3982-TEST3,ADJ3982,2026-01-26 11:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-19T13:40:19.946Z
ADJ3982-TEST1,ADJ3982,2026-01-26 11:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-19T13:40:19.946Z
ADJ3982-TEST4,ADJ3982,2026-01-26 11:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-19T13:40:19.946Z
ADK0689-TEST3,ADK0689,2026-01-26 12:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-03T13:41:16.343Z
ADD5544-TEST4,ADD5544,2026-01-26 12:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-28T03:10:00.931Z
ADD5544-TEST3,ADD5544,2026-01-26 12:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-28T03:10:00.931Z
ADD5544-TEST2,ADD5544,2026-01-26 12:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-28T03:10:00.931Z
ADD5544-TEST1,ADD5544,2026-01-26 12:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-28T03:10:00.931Z
ADD5544-TEST0,ADD5544,2026-01-26 12:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-28T03:10:00.931Z
ADK0689-TEST0,ADK0689,2026-01-26 12:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-03T13:41:16.343Z
ADK0689-TEST1,ADK0689,2026-01-26 12:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-03T13:41:16.343Z
ADK0689-TEST2,ADK0689,2026-01-26 12:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-03T13:41:16.343Z
ADK0689-TEST4,ADK0689,2026-01-26 12:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-03T13:41:16.343Z
ACZ6075-TEST1,ACZ6075,2026-01-26 13:55:41+00:00,PASS,Mycoplasma,Conforms,Approved,USER-251.0,2026-02-13T11:19:18.751Z
ACZ6075-TEST0,ACZ6075,2026-01-26 13:55:41+00:00,PASS,Appearance,Conforms,Approved,USER-251.0,2026-02-13T11:19:18.751Z
ACW0383-TEST2,ACW0383,2026-01-26 13:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-02T02:05:55.745Z
ACZ6075-TEST2,ACZ6075,2026-01-26 13:55:41+00:00,PASS,Sterility,Conforms,Approved,USER-251.0,2026-02-13T11:19:18.751Z
ACZ6075-TEST4,ACZ6075,2026-01-26 13:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Approved,USER-251.0,2026-02-13T11:19:18.751Z
ACW0383-TEST4,ACW0383,2026-01-26 13:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-02T02:05:55.745Z
ACW0383-TEST3,ACW0383,2026-01-26 13:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-02T02:05:55.745Z
ACW0383-TEST0,ACW0383,2026-01-26 13:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-02T02:05:55.745Z
ACW0383-TEST1,ACW0383,2026-01-26 13:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-02T02:05:55.745Z
ACZ6075-TEST3,ACZ6075,2026-01-26 13:55:41+00:00,PASS,Endotoxin,Conforms,Approved,USER-251.0,2026-02-13T11:19:18.751Z
ADD0677-TEST2,ADD0677,2026-01-26 14:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.985Z
ADD0677-TEST1,ADD0677,2026-01-26 14:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.985Z
ACY6849-TEST2,ACY6849,2026-01-26 14:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-01-05T11:01:24.974Z
ADD0677-TEST0,ADD0677,2026-01-26 14:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.985Z
ADD0677-TEST3,ADD0677,2026-01-26 14:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.985Z
ADD0677-TEST4,ADD0677,2026-01-26 14:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:07.985Z
ACY6849-TEST1,ACY6849,2026-01-26 14:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-01-05T11:01:24.974Z
ACY6849-TEST0,ACY6849,2026-01-26 14:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-01-05T11:01:24.974Z
ACY6849-TEST4,ACY6849,2026-01-26 14:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-01-05T11:01:24.974Z
ACY6849-TEST3,ACY6849,2026-01-26 14:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-01-05T11:01:24.974Z
ADD1212-TEST2,ADD1212,2026-01-26 15:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-03T07:48:22.833Z
ADJ3404-TEST0,ADJ3404,2026-01-26 15:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-19T16:17:14.368Z
ADJ3404-TEST1,ADJ3404,2026-01-26 15:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-19T16:17:14.368Z
ADD1212-TEST0,ADD1212,2026-01-26 15:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-03T07:48:22.833Z
ADD1212-TEST1,ADD1212,2026-01-26 15:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-03T07:48:22.833Z
ADD1212-TEST4,ADD1212,2026-01-26 15:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-03T07:48:22.833Z
ADJ3404-TEST3,ADJ3404,2026-01-26 15:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-19T16:17:14.368Z
ADJ3404-TEST2,ADJ3404,2026-01-26 15:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-19T16:17:14.368Z
ADJ3404-TEST4,ADJ3404,2026-01-26 15:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-19T16:17:14.368Z
ADD1212-TEST3,ADD1212,2026-01-26 15:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-03T07:48:22.833Z
ADD1921-TEST4,ADD1921,2026-01-26 16:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Approved,USER-251.0,2026-02-21T05:47:11.005Z
ADD1921-TEST3,ADD1921,2026-01-26 16:55:41+00:00,PASS,Endotoxin,Conforms,Approved,USER-251.0,2026-02-21T05:47:11.005Z
ADD1921-TEST2,ADD1921,2026-01-26 16:55:41+00:00,PASS,Sterility,Conforms,Approved,USER-251.0,2026-02-21T05:47:11.005Z
ADD1921-TEST1,ADD1921,2026-01-26 16:55:41+00:00,PASS,Mycoplasma,Conforms,Approved,USER-251.0,2026-02-21T05:47:11.005Z
ADD1921-TEST0,ADD1921,2026-01-26 16:55:41+00:00,PASS,Appearance,Conforms,Approved,USER-251.0,2026-02-21T05:47:11.005Z
ADE7539-TEST1,ADE7539,2026-01-26 17:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-18T20:18:47.069Z
ADE7539-TEST2,ADE7539,2026-01-26 17:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-18T20:18:47.069Z
ACX2950-TEST1,ACX2950,2026-01-26 17:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-01T17:37:42.921Z
ACX2950-TEST0,ACX2950,2026-01-26 17:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-01T17:37:42.921Z
ADA7662-TEST4,ADA7662,2026-01-26 17:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-28T19:05:05.963Z
ADA7662-TEST1,ADA7662,2026-01-26 17:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-28T19:05:05.963Z
ADE7539-TEST3,ADE7539,2026-01-26 17:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-18T20:18:47.069Z
ADA7662-TEST2,ADA7662,2026-01-26 17:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-28T19:05:05.963Z
ADE7539-TEST4,ADE7539,2026-01-26 17:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-18T20:18:47.069Z
ACX2950-TEST3,ACX2950,2026-01-26 17:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-01T17:37:42.921Z
ADE7539-TEST0,ADE7539,2026-01-26 17:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-18T20:18:47.069Z
ADA7662-TEST3,ADA7662,2026-01-26 17:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-28T19:05:05.963Z
ADA7662-TEST0,ADA7662,2026-01-26 17:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-28T19:05:05.963Z
ACX2950-TEST4,ACX2950,2026-01-26 17:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-01T17:37:42.921Z
ACX2950-TEST2,ACX2950,2026-01-26 17:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-01T17:37:42.921Z
ADC6740-TEST1,ADC6740,2026-01-26 18:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:04.742Z
ADC6740-TEST4,ADC6740,2026-01-26 18:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:04.742Z
ADC6740-TEST3,ADC6740,2026-01-26 18:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:04.742Z
ADC6740-TEST2,ADC6740,2026-01-26 18:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:04.742Z
ADC6740-TEST0,ADC6740,2026-01-26 18:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:04.742Z
ADE9433-TEST1,ADE9433,2026-01-26 19:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-27T21:03:35.827Z
ADE9433-TEST4,ADE9433,2026-01-26 19:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-27T21:03:35.827Z
ADE9433-TEST0,ADE9433,2026-01-26 19:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-27T21:03:35.827Z
ADE9433-TEST2,ADE9433,2026-01-26 19:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-02-27T21:03:35.827Z
ADE9433-TEST3,ADE9433,2026-01-26 19:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-02-27T21:03:35.827Z
ADA7427-TEST2,ADA7427,2026-01-26 20:55:41+00:00,PASS,Sterility,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:12.167Z
ADA7427-TEST0,ADA7427,2026-01-26 20:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:12.167Z
ADA7427-TEST4,ADA7427,2026-01-26 20:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:12.167Z
ADA7427-TEST3,ADA7427,2026-01-26 20:55:41+00:00,PASS,Endotoxin,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:12.167Z
ADA7427-TEST1,ADA7427,2026-01-26 20:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-03-02T06:14:12.167Z
ADD5882-TEST1,ADD5882,2026-01-26 21:55:41+00:00,PASS,Mycoplasma,Conforms,Reprocess,USER-251.0,2026-02-28T03:10:01.062Z
ADD5882-TEST0,ADD5882,2026-01-26 21:55:41+00:00,PASS,Appearance,Conforms,Reprocess,USER-251.0,2026-02-28T03:10:01.062Z
ADF3628-TEST4,ADF3628,2026-01-26 21:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-19T12:32:20.078Z
ADD5882-TEST4,ADD5882,2026-01-26 21:55:41+00:00,PASS,Cell Viability Percentage,Conforms,Reprocess,USER-251.0,2026-02-28T03:10:01.062Z
