businessKey,batchId,ai_verification_time,ai_overall_status,testName,ai_meets_specification,hitl_qa_decision,hitl_reviewer_id,hitl_review_time
BATCH-0000-TEST0,BATCH-0000,2026-02-03T20:59:19Z,PASS,Appearance,Conforms,Pending,,
BATCH-0000-TEST1,BATCH-0000,2026-02-03T20:59:19Z,PASS,Mycoplasma,Conforms,Pending,,
BATCH-0000-TEST2,BATCH-0000,2026-02-03T20:59:19Z,PASS,Sterility,Conforms,Pending,,
BATCH-0000-TEST3,BATCH-0000,2026-02-03T20:59:19Z,PASS,Endotoxin,Conforms,Pending,,
BATCH-0000-TEST4,BATCH-0000,2026-02-03T20:59:19Z,PASS,Cell Viability Percentage,Conforms,Pending,,
BATCH-0001-TEST0,BATCH-0001,2026-03-03T15:59:19Z,PASS,Appearance,Conforms,Pending,,
BATCH-0001-TEST1,BATCH-0001,2026-03-03T15:59:19Z,PASS,Mycoplasma,Conforms,Pending,,
BATCH-0001-TEST2,BATCH-0001,2026-03-03T15:59:19Z,PASS,Sterility,Conforms,Pending,,
BATCH-0001-TEST3,BATCH-0001,2026-03-03T15:59:19Z,PASS,Endotoxin,Conforms,Pending,,
BATCH-0001-TEST4,BATCH-0001,2026-03-03T15:59:19Z,PASS,Cell Viability Percentage,Conforms,Pending,,
BATCH-0002-TEST0,BATCH-0002,2026-02-18T15:59:19Z,PASS,Appearance,Conforms,Pending,,
BATCH-0002-TEST1,BATCH-0002,2026-02-18T15:59:19Z,PASS,Mycoplasma,Conforms,Pending,,
BATCH-0002-TEST2,BATCH-0002,2026-02-18T15:59:19Z,PASS,Sterility,Conforms,Pending,,
BATCH-0002-TEST3,BATCH-0002,2026-02-18T15:59:19Z,PASS,Endotoxin,Conforms,Pending,,
BATCH-0002-TEST4,BATCH-0002,2026-02-18T15:59:19Z,PASS,Cell Viability Percentage,Conforms,Pending,,
BATCH-0003-TEST0,BATCH-0003,2026-02-23T04:59:19Z,PASS,Appearance,Conforms,Pending,,
BATCH-0003-TEST1,BATCH-0003,2026-02-23T04:59:19Z,PASS,Mycoplasma,Conforms,Pending,,
BATCH-0003-TEST2,BATCH-0003,2026-02-23T04:59:19Z,PASS,Sterility,Conforms,Pending,,
