businessKey,batchId,ai_verification_time,ai_overall_status,testName,ai_meets_specification
ADC5077-TEST0,ADC5077,2026-03-02T09:13:10Z,FAIL,Appearance,Conforms
ADC5077-TEST1,ADC5077,2026-03-02T09:13:10Z,FAIL,Mycoplasma,Conforms
ADC5077-TEST2,ADC5077,2026-03-02T09:13:10Z,FAIL,Sterility,Conforms
ADC5077-TEST3,ADC5077,2026-03-02T09:13:10Z,FAIL,Endotoxin,Conforms
ADC5077-TEST4,ADC5077,2026-03-02T09:13:10Z,FAIL,Cell Viability Percentage,Does Not Conform
ADK2393-TEST0,ADK2393,2026-02-01T06:13:10Z,PASS,Appearance,Conforms
ADK2393-TEST1,ADK2393,2026-02-01T06:13:10Z,PASS,Mycoplasma,Conforms
ADK2393-TEST2,ADK2393,2026-02-01T06:13:10Z,PASS,Sterility,Conforms
ADK2393-TEST3,ADK2393,2026-02-01T06:13:10Z,PASS,Endotoxin,Conforms
ADK2393-TEST4,ADK2393,2026-02-01T06:13:10Z,PASS,Cell Viability Percentage,Conforms
ACY5228-TEST0,ACY5228,2026-02-27T13:13:10Z,FAIL,Appearance,Does Not Conform
ACY5228-TEST1,ACY5228,2026-02-27T13:13:10Z,FAIL,Mycoplasma,Conforms
ACY5228-TEST2,ACY5228,2026-02-27T13:13:10Z,FAIL,Sterility,Conforms
ACY5228-TEST3,ACY5228,2026-02-27T13:13:10Z,FAIL,Endotoxin,Does Not Conform
ACY5228-TEST4,ACY5228,2026-02-27T13:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACX9355-TEST0,ACX9355,2026-02-25T13:13:10Z,FAIL,Appearance,Does Not Conform
ACX9355-TEST1,ACX9355,2026-02-25T13:13:10Z,FAIL,Mycoplasma,Conforms
ACX9355-TEST2,ACX9355,2026-02-25T13:13:10Z,FAIL,Sterility,Conforms
ACX9355-TEST3,ACX9355,2026-02-25T13:13:10Z,FAIL,Endotoxin,Conforms
ACX9355-TEST4,ACX9355,2026-02-25T13:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACM9844-TEST0,ACM9844,2026-03-03T10:13:10Z,FAIL,Appearance,Does Not Conform
ACM9844-TEST1,ACM9844,2026-03-03T10:13:10Z,FAIL,Mycoplasma,Conforms
